,JOB_TITLE,JOB_CODE,JOB_GROUP,SERVICE_GROUP
1,ACCOUNT CLERK,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
3,ACCOUNTANT I,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
2,ACCOUNTANT II,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
4,ACCOUNTANT II (OCII),700,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
5,ACCOUNTANT III,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
6,ACCOUNTANT III (OCII),600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
7,ACCOUNTANT INTERN,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
8,ACCOUNTANT IV,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
9,ACCOUNTING SUPERVISOR (OCII),900,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
10,ACUPUNCTURIST,2500,Therapy and Auxiliary 2800 Public Health,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
11,"ADDRESS FRAUD INVESTIGATOR,SFUSD",2900,Social Services,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
12,ADMINISTRATIVE ANALYST I,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
12,ADMINISTRATIVE ANALYST II,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
12,ADMINISTRATIVE ANALYST III,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
12,ADMINISTRATIVE ANALYST,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
13,ADMINISTRATIVE ENGINEER,5100,Administrative,ENGINEERING AND PUBLIC WORKS 
14,ADMINISTRATIVE HEARING EXAMINER,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
14,ADMIN HEARING EXAMINER,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
15,ADMINISTRATIVE HEARING SUP,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
15,ADMINISTRATIVE HEARING SUPERVISOR,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
16,ADMINISTRATIVE SERVICES MANAGER,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
16,ADMINISTRATIVE SERVICES MGR,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
17,"ADMINISTRATOR, DPH",1100,Administrative and Management,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
17,"ADMINISTRATOR, DEPARTMENT OF PUBLIC HEALTH",1100,Administrative and Management,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
18,"ADMINISTRATOR, SFGH MEDICAL CENTER",1100,Administrative and Management,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
18,"ADM, SFGH MEDICAL CENTER",1100,Administrative and Management,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
19,ADMISSION ATTENDANT,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
19,ADMISSIONS ATTENDANT,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
20,AGRICULTURAL INSPECTOR,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
21,"AIRPORT ASSISTANT DEPUTY DIRECTOR, BUSINESS ADMINI",9200,Airport Operation,TRANSPORTATION
21,"AIRPORT ASSISTANT DEPUTY DIRECTOR, BUSINESS AND FINANCE",9200,Airport Operation,TRANSPORTATION
21,"AIRPORT ASSISTANT DEPUTY DIRECTOR, OPERATIONS",9200,Airport Operation,TRANSPORTATION
22,AIRPORT COMMUNICATIONS DISPATCHER,9200,Airport Operation,TRANSPORTATION
22,AIRPORT COMMUNICATIONS DISP,9200,Airport Operation,TRANSPORTATION
23,AIRPORT COMMUNICATIONS OFFICER,9200,Airport Operation,TRANSPORTATION
23,AIRPORT COMMUNICATIONS OPERATOR,9200,Airport Operation,TRANSPORTATION
24,AIRPORT COMMUNICATIONS SUPERVISOR,9200,Airport Operation,TRANSPORTATION
24,AIRPORTS COMMUNICATIONS SPRV,9200,Airport Operation,TRANSPORTATION
25,AIRPORT CUSTODIAL SERVICES SUPERVISOR,9200,Airport Operation,TRANSPORTATION
26,AIRPORT ECONOMIC PLANNER,9200,Airport Operation,TRANSPORTATION
27,AIRPORT ELECTRICIAN,9200,Airport Operation,TRANSPORTATION
28,AIRPORT ELECTRICIAN SUPERVISOR,9200,Airport Operation,TRANSPORTATION
29,AIRPORT EMERGENCY PLANNING COORDINATOR,9200,Airport Operation,TRANSPORTATION
29,AIRPORT EMERG PLANNING COORD,9200,Airport Operation,TRANSPORTATION
30,AIRPORT GROUND TRANSPORTATION TECHNICIAN,9200,Airport Operation,TRANSPORTATION
31,AIRPORT MECHANICAL MAINTENANCE SUPERVISOR,9200,Airport Operation,TRANSPORTATION
31,AIRPORT MECHANICAL MAINT SPRV,9200,Airport Operation,TRANSPORTATION
