"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"1","nguyen","297,503",1,95.9,57,"310,125"
"2","lee","229,197",2,37.8,22,"605,860"
"3","kim","183,432",3,94.5,109,"194,067"
"4","patel","132,547",4,91.4,172,"145,066"
"5","tran","130,120",5,95.6,188,"136,095"
"6","chen","100,742",6,95.5,260,"105,544"
"7","wong","87,962",7,88.5,277,"99,392"
"8","le","73,697",8,95.2,368,"77,453"
"9","yang","69,017",9,95,397,"72627"
"10","wang","63,833",10,94.5,438,"67,570"
"11","chang","62,871",11,90.1,424,"69,756"
"12","chan","59,811",12,91,459,"65,719"
"13","pham","57,467",13,95.9,498,"59949"
"14","li","55,729",14,96.4,519,"57786"
"15","park","54,293",15,66.3,343,"81,890"
"16","singh","54,075",16,74.4,396,"72,642"
"17","lin","46,956",17,95.1,624,"49,360"
"18","liu","45,501",18,95.5,650,"47665"
"19","wu","43,955",19,95.9,683,"45815"
"20","huang","43,298",20,96.8,697,"44715"
"21","lam","38,824",21,87.5,706,"44,385"
"22","huynh","38,479",22,96.2,790,"40011"
"23","ho","37,616",23,93.1,778,"40,413"
"24","choi","35,102",24,96.5,872,"36390"
"25","yu","34,913",25,96.2,874,"36285"
"26","shah","33,217",26,87.8,831,"37,833"
"27","chung","33,151",27,91,870,"36422"
"28","khan","32,933",28,70.5,665,"46,713"
"29","zhang","32,591",29,98.2,963,"33202"
"30","vang","30,037",30,92.9,982,"32333"
"31","truong","26,829",31,96.5,1157,"27808"
"32","ng","25,879",32,94,1168,"27537"
"33","phan","25,501",33,94.8,1193,"26903"
"34","lim","25,104",34,91.5,1170,"27433"
"35","xiong","24,940",35,94.7,1219,"26336"
"36","vu","24,854",36,96.2,1247,"25828"
"37","cheng","24,743",37,95.1,1238,"26023"
"38","cho","24,184",38,95.6,1277,"25305"
"39","vo","23,748",39,95.2,1296,"24956"
"40","tang","23,675",40,93,1269,"25446"
"41","ngo","22,982",41,95.8,1355,"23980"
"42","chu","22,765",42,93.4,1328,"24381"
"43","lu","21,996",43,95.7,1424,"22977"
"44","kang","21,786",44,92.5,1380,"23565"
"45","ly","21,730",45,94.5,1421,"22990"
"46","hong","21,147",46,88.1,1352,"24,017"
"47","dang","20,660",47,94.1,1490,"21953"
"48","hoang","20,374",48,95.8,1546,"21269"
"49","do","20,139",49,94.9,1551,"21230"
"50","chin","20,012",50,77.9,1255,"25,673"
"51","tan","19,691",51,91.3,1530,"21567"
"52","lau","19,618",52,76.6,1259,"25,624"
"53","bui","19,557",53,93.8,1579,"20852"
"54","kaur","19,496",54,89.3,1501,"21825"
"55","han","18,406",55,90.6,1617,"20,318"
"56","ma","17,888",56,94,1726,"19030"
"57","duong","17,664",57,96,1790,"18404"
"58","leung","17,215",58,94.9,1815,"18140"
"59","yee","16,849",59,86.5,1687,"19,483"
"60","song","16,033",60,95.1,1962,"16856"
"61","cheung","15,413",61,95.9,2069,"16067"
"62","ali","15,117",62,41.9,876,"36,079"
"63","shin","15,028",63,94.8,2099,"15857"
"64","ahmed","14,977",64,56.3,1206,"26,607"
"65","yi","14,494",65,95,2189,"15254"
"66","thao","14,483",66,93.7,2153,"15463"
"67","lai","14,283",67,92.2,2148,"15490"
"68","hsu","14,150",68,95.4,2254,"14838"
"69","fong","14,090",69,84.8,2002,"16614"
"70","reyes","13,997",70,6,81,"232,511"
"71","sun","13,983",71,93.5,2228,"14962"
"72","chow","13,924",72,89,2124,"15650"
"73","young","13,745",73,2.9,31,"465,948"
"74","liang","13,581",74,96.4,2353,"14095"
"75","lo","13,361",75,91.9,2292,"14534"
"76","hwang","13,151",76,96.6,2435,"13610"
"77","santos","13,077",77,13.2,279,"98,993"
"78","cruz","12,963",78,5.6,82,"231,065"
"79","oh","12,789",79,95.7,2477,"13366"
"80","sharma","12,736",80,85.6,2247,"14870"
"81","chau","12,460",81,94.1,2498,"13238"
"82","garcia","12,274",82,1.4,8,"858,289"
"83","ha","12,189",83,93.8,2558,"12988"
"84","kumar","12,170",84,83.8,2293,"14517"
"85","xu","12,041",85,98.5,2701,"12228"
"86","desai","11,976",86,91.7,2540,"13057"
"87","thomas","11,584",87,1.6,14,"710,696"
"88","hu","11,515",88,95.5,2747,"12056"
"89","luu","11,459",89,95.8,2768,"11965"
"90","zhou","11,350",90,98,2839,"11586"
"91","dinh","11,308",91,95.5,2792,"11836"
"92","yoon","11,045",92,95.5,2848,"11563"
"93","trinh","11,004",93,95.6,2868,"11507"
"94","tam","10,985",94,90.4,2723,"12150"
"95","luong","10,771",95,96,2951,"11214"
"96","chong","10,740",96,82.8,2561,"12976"
"97","chiu","10,522",97,92.9,2920,"11321"
"98","zheng","10,495",98,98.4,3111,"10670"
"99","cao","10,410",99,93.7,2986,"11106"
"100","zhu","10,286",100,97.9,3147,"10508"
"101","woo","10,271",101,88.3,2824,"11628"
"102","zhao","10,157",102,98.4,3187,"10324"
"103","jung","9,941",103,57.1,1896,"17,395"
"104","mai","9,855",104,81.9,2752,"12,027"
"105","ko","9,806",105,93.5,3152,"10483"
"106","ramos","9,732",106,5,112,"193,096"
"107","chun","9,627",107,86.3,2967,"11154"
"108","her","9,550",108,91.5,3159,"10434"
"109","smith","9,505",109,0.4,1,"2,376,206"
"110","kong","9,407",110,85.2,3005,"11040"
"111","gupta","9,375",111,90.4,3172,"10376"
"112","yoo","9,350",112,94.9,3330,"9853"
"113","doan","9,322",113,58.6,2094,"15,902"
"114","moua","9,122",114,93.3,3347,"9776"
"115","kwon","9,064",115,96.4,3472,"9405"
"116","pak","9,037",116,91.5,3322,"9877"
"117","delacruz","8,966",117,18.2,629,"49,158"
"118","tsai","8,874",118,95.1,3503,"9332"
"119","mehta","8,776",119,90.6,3377,"9691"
"120","mendoza","8,765",120,5.2,134,"168,567"
"121","tong","8,589",121,79.5,3074,"10,809"
"122","jiang","8,388",122,97.7,3791,"8582"
"123","bautista","8,341",123,22,830,"37,847"
"124","shen","8,238",124,93.3,3690,"8832"
"125","vue","8,010",125,93.9,3822,"8528"
"126","su","7,999",126,94,3835,"8507"
"127","thai","7,990",127,94.7,3864,"8440"
"128","eng","7,906",128,78.3,3246,"10,102"
"129","johnson","7,800",129,0.4,2,"1,857,160"
"130","dao","7,605",130,93.2,3994,"8163"
"131","chou","7,485",131,94.9,4163,"7885"
"132","hussain","7,482",132,67.6,2996,"11,070"
"133","pan","7,476",133,91.8,4004,"8143"
"134","ahn","7,451",134,91.6,4010,"8130"
"135","chao","7,444",135,86.2,3769,"8633"
"136","kwan","7,404",136,93.7,4147,"7906"
"137","quach","7,359",137,96.5,4305,"7624"
"138","lor","7,328",138,90.9,4053,"8061"
"139","rahman","7,313",139,68.2,3102,"10,719"
"140","fernandez","7,202",140,5.2,178,"139,302"
"141","cha","7,174",141,93.2,4258,"7698"
"142","yan","7,145",142,89.1,4091,"8016"
"143","vuong","6,883",143,96.3,4556,"7148"
"144","chiang","6,851",144,94,4479,"7290"
"145","leong","6,818",145,85.6,4119,"7967"
"146","he","6,737",146,95.5,4600,"7057"
"147","flores","6,721",147,2.1,55,"312,615"
"148","fung","6,672",148,88.7,4367,"7518"
"149","dong","6,628",149,90.5,4458,"7327"
"150","nakamura","6,613",150,84.6,4203,"7821"
"151","to","6,593",151,94.5,4649,"6979"
"152","choe","6,591",152,95.2,4682,"6926"
"153","ong","6,571",153,86.8,4343,"7572"
"154","tanaka","6,538",154,82.9,4160,"7887"
"155","louie","6,517",155,80.7,4046,"8071"
"156","yun","6,515",156,94.1,4680,"6927"
"157","lopez","6,464",157,1,21,"621,536"
