"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"1","williams","716,704",1,46.7,3,"1,534,042"
"2","johnson","627,720",2,33.8,2,"1,857,160"
"3","smith","527,993",3,22.2,1,"2,376,206"
"4","jones","514,167",4,37.7,5,"1,362,755"
"5","brown","476,702",5,34.5,4,"1,380,145"
"6","jackson","353,179",6,53,18,"666,125"
"7","davis","329,957",7,30.8,7,"1,072,335"
"8","thomas","271,273",8,38.2,14,"710,696"
"9","harris","247,092",9,41.6,24,"593,542"
"10","robinson","221,835",10,44.1,27,"503,028"
"11","taylor","199,326",11,27.7,13,"720,370"
"12","wilson","198,269",12,25.3,10,"783,051"
"13","moore","188,082",13,26.9,16,"698,671"
"14","white","175,099",14,27.4,20,"639,515"
"15","lewis","172,509",15,33.8,26,"509,930"
"16","walker","171,297",16,34.2,28,"501,307"
"17","green","149,803",17,36.2,37,"413,477"
"18","washington","146,520",18,89.9,138,"163,036"
"19","thompson","145,176",19,22.5,19,"644,368"
"20","anderson","137,688",20,18.1,12,"762,394"
"21","scott","135,521",21,32.3,36,"420,091"
"22","carter","126,856",22,35,46,"362,548"
"23","wright","120,484",23,27.4,34,"440,367"
"24","miller","117,404",24,10.4,6,"1,127,803"
"25","hill","117,025",25,28.4,41,"411,770"
"26","allen","116,491",26,25.1,32,"463,368"
"27","mitchell","115,815",27,31.5,44,"367,433"
"28","young","110,849",28,23.8,31,"465,948"
"29","lee","105,480",29,17.4,22,"605,860"
"30","martin","102,925",30,15.3,17,"672,711"
"31","clark","101,613",31,18.5,25,"548,369"
"32","turner","98,383",32,29.3,49,"335,663"
"33","hall","98,265",33,20.7,30,"473,568"
"34","king","96,665",34,22,35,"438,986"
"35","edwards","95,787",35,30.2,53,"317,070"
"36","coleman","91,440",36,43.8,102,"208,624"
"37","james","88,835",37,38.1,80,"233,224"
"38","evans","85,730",38,25,48,"342,237"
"39","bell","84,138",39,31.8,67,"264,752"
"40","richardson","81,772",40,32.8,74,"249,533"
"41","adams","79,313",41,19.2,39,"413,086"
"42","brooks","78,653",42,32.7,77,"240,751"
"43","parker","78,111",43,24.1,51,"324,246"
"44","jenkins","76,881",44,36,95,"213,737"
"45","stewart","74,564",45,23.8,54,"312,899"
"46","howard","73,096",46,28.7,70,"254,779"
"47","campbell","71,155",47,19.1,43,"371,953"
"48","simmons","71,102",48,35.3,103,"201,650"
"49","sanders","70,468",49,31.9,88,"220,902"
"50","henderson","69,751",50,33.2,101,"210,094"
"51","collins","68,973",51,21.7,52,"317,848"
"52","cooper","68,227",52,25.3,64,"270,097"
"53","watson","65,093",53,26.9,76,"242,432"
"54","butler","65,056",54,30.8,98,"210,879"
"55","alexander","64,262",55,33.2,111,"193,443"
"56","bryant","63,728",56,34.7,120,"183,761"
"57","nelson","61,547",57,14.9,40,"412,236"
"58","morris","60,137",58,19.3,56,"311,754"
"59","barnes","59,403",59,28.2,99,"210,426"
"60","jordan","59,282",60,30.1,105,"197,212"
"61","reed","58,757",61,22,65,"267,443"
"62","woods","58,511",62,34.7,133,"168,814"
"63","dixon","58,085",63,38.2,156,"152,015"
"64","roberts","58,082",64,15.9,45,"366,215"
"65","gray","57,663",65,24.4,79,"236,713"
"66","phillips","57,562",66,16.4,47,"351,848"
"67","griffin","56,752",67,29.8,114,"190,636"
"68","baker","56,340",68,13.6,38,"413,351"
"69","powell","56,239",69,26,91,"216,553"
"70","bailey","56,215",70,21.1,66,"265,916"
"71","ford","56,017",71,31.4,124,"178,397"
"72","holmes","54,841",72,36.5,161,"150,166"
"73","banks","53,857",73,54.2,278,"99,294"
"74","daniels","52,499",74,37.8,180,"138,776"
"75","ross","52,065",75,23.7,89,"219,961"
"76","rogers","51,992",76,17.7,61,"294,403"
"77","perry","51,821",77,24.4,97,"212,644"
"78","foster","51,259",78,23.2,87,"221,040"
"79","patterson","50,950",79,25.7,104,"198,557"
"80","hunter","49,874",80,32.3,153,"154,410"
"81","owens","49,127",81,27.9,126,"176,334"
"82","grant","49,030",82,36.6,192,"134,034"
"83","marshall","46,696",83,26.4,125,"177,213"
"84","henry","46,416",84,28.8,142,"161,392"
"85","morgan","45,523",85,16.5,62,"276,400"
"86","price","45,271",86,19.8,84,"228,756"
"87","wallace","45,267",87,23.7,113,"190,760"
"88","ward","45,157",88,17.8,71,"254,121"
"89","hayes","45,087",89,24,117,"187,473"
"90","boyd","44,753",90,29.9,164,"149,476"
"91","freeman","44,690",91,27.5,140,"162,686"
"92","graham","44,094",92,22.7,108,"194,074"
"93","hamilton","44,016",93,22.7,107,"194,331"
"94","franklin","43,394",94,37.8,236,"114,859"
"95","hawkins","42,995",95,32.1,191,"134,066"
"96","gordon","42,173",96,27.2,151,"154,934"
"97","sims","41,975",97,39.1,254,"107,244"
"98","harrison","41,717",98,23.8,128,"175,577"
"99","ellis","41,117",99,22.6,121,"181,934"
"100","kelly","40,308",100,15.5,69,"260,385"
"101","hicks","40,156",101,26.1,155,"153,618"
"102","bennett","39,468",102,16.5,78,"239,055"
"103","joseph","39,087",103,48.8,356,"80,030"
"104","gibson","38,857",104,21.1,119,"184,420"
"105","crawford","38,692",105,24.5,146,"158,121"
"106","jefferson","38,644",106,75.2,594,"51,361"
"107","watkins","38,424",107,31.4,222,"122,447"
"108","tucker","38,403",108,23.6,139,"162,933"
"109","porter","38,334",109,24.4,148,"156,848"
"110","willis","38,165",110,30.4,216,"125,627"
"111","mason","38,062",111,24.5,149,"155,484"
"112","matthews","36,765",112,29.4,217,"124,839"
"113","fields","36,341",113,35.2,264,"103,242"
"114","cook","36,171",114,12.3,60,"294,795"
"115","hughes","35,441",115,15.5,83,"229,390"
"116","simpson","35,019",116,22.1,145,"158,241"
"117","hudson","34,294",117,26.2,202,"130,793"
"118","cole","34,178",118,18.2,116,"187,793"
"119","warren","34,151",119,23.1,166,"147,906"
"120","russell","34,017",120,15.8,93,"215,432"
"121","west","33,547",121,17.8,115,"188,464"
"122","reid","33,293",122,32,263,"104,007"
"123","murphy","33,145",123,11,58,"300,501"
"124","wells","33,001",124,19.3,131,"170,635"
"125","mack","32,489",125,48.4,441,"67,154"
"126","murray","32,346",126,18.1,123,"178,414"
"127","douglas","32,293",127,33.5,286,"96,425"
"128","bradley","32,021",128,24.4,200,"131,289"
"129","frazier","31,921",129,36.1,314,"88,325"
"130","shaw","31,391",130,20.2,150,"155,172"
"131","harper","30,734",131,25.6,226,"119,868"
"132","greene","30,523",132,25.5,228,"119,604"
"133","robertson","30,421",133,20.2,159,"150,299"
"134","payne","30,408",134,22,183,"138,028"
"135","perkins","30,405",135,24,212,"126,951"
"136","byrd","30,373",136,34.2,311,"88,811"
"137","spencer","30,317",137,22.6,189,"134,443"
"138","webb","30,015",138,18.4,137,"163,481"
"139","oliver","29,931",139,26.8,248,"111,641"
"140","cox","29,311",140,11.6,72,"253,771"
"141","austin","28,856",141,25.5,241,"113,160"
"142","berry","28,806",142,22.3,205,"129,405"
"143","lawrence","28,743",143,23.1,219,"124,321"
"144","mcdonald","28,633",144,16.3,127,"176,094"
"145","montgomery","28,630",145,25.5,246,"112,144"
"146","love","28,400",146,36.3,363,"78,323"
"147","mccoy","28,100",147,26.4,258,"106,481"
"148","burton","27,893",148,26,255,"107,158"
"149","black","27,875",149,18.6,160,"150,186"
"150","knight","27,401",150,20.8,199,"131,860"
"151","harvey","27,036",151,24.1,247,"112,136"
"152","andrews","26,950",152,20.8,206,"129,320"
"153","cunningham","26,907",153,20.4,198,"131,896"
"154","stephens","26,666",154,19.2,181,"138,742"
"155","armstrong","26,386",155,20.3,204,"129,982"
"156","peterson","26,349",156,9.6,63,"275,041"
"157","glover","26,288",157,41,468,"64,180"
"158","long","26,261",158,11.8,86,"223,494"
"159","haynes","26,260",159,32,341,"82,037"
"160","riley","26,257",160,20.5,210,"127,960"
"161","hampton","26,233",161,39.5,451,"66,378"
"162","wade","26,114",162,28.1,297,"92,834"
"163","miles","26,055",163,31.8,342,"81,933"
"164","palmer","26,035",164,17.3,158,"150,407"
"165","neal","25,918",165,30.9,333,"83,849"
"166","gardner","25,888",166,18.7,182,"138,660"
"167","ferguson","25,677",167,18,173,"142,256"
"168","garrett","25,403",168,23.6,253,"107,777"
"169","tate","25,230",169,37.5,440,"67,208"
"170","singleton","24,925",170,48.1,584,"51,797"
"171","hunt","24,819",171,16.3,157,"151,986"
"172","reynolds","24,450",172,12.5,106,"195,598"
"173","curry","24,435",173,34.2,410,"71,344"
"174","charles","24,358",174,47.3,589,"51,518"
"175","chambers","24,325",175,26.9,305,"90,325"
"176","hardy","24,308",176,31.7,374,"76,608"
"177","hines","24,273",177,35.6,432,"68,145"
"178","little","24,026",178,23.4,266,"102,718"
"179","walton","23,812",179,33.5,414,"70,997"
"180","rice","23,811",180,16.3,169,"146,440"
"181","mills","23,799",181,16.1,165,"147,909"
"182","fisher","23,719",182,11.3,100,"210,279"
"183","mosley","23,614",183,52.8,699,"44,698"
"184","caldwell","23,364",184,25.6,301,"91,338"
"185","booker","23,016",185,65.6,902,"35,101"
"186","alston","22,867",186,81.4,1140,"28,089"
"187","carr","22,858",187,20.1,239,"113,892"
"188","lawson","22,703",188,19.7,235,"115,186"
"189","roberson","22,402",189,42.1,569,"53,198"
"190","kennedy","22,278",190,13,130,"171,636"
"191","terry","22,219",191,26.6,336,"83,437"
"192","houston","22,107",192,40.9,563,"54,026"
"193","burns","22,101",193,13.6,141,"162,153"
"194","mcgee","22,074",194,30.7,404,"71,925"
"195","ray","21,985",195,17.1,208,"128,794"
"196","myers","21,920",196,9.7,85,"224,824"
"197","fuller","21,752",197,20.4,256,"106,682"
"198","stevenson","21,642",198,29.7,395,"72,892"
