WILLIAMS	716,704	1	46.7	3	1,534,042
JOHNSON	627,720	2	33.8	2	1,857,160
SMITH	527,993	3	22.2	1	2,376,206
JONES	514,167	4	37.7	5	1,362,755
BROWN	476,702	5	34.5	4	1,380,145
JACKSON	353,179	6	53.0	18	666,125
DAVIS	329,957	7	30.8	7	1,072,335
THOMAS	271,273	8	38.2	14	710,696
HARRIS	247,092	9	41.6	24	593,542
ROBINSON	221,835	10	44.1	27	503,028
TAYLOR	199,326	11	27.7	13	720,370
WILSON	198,269	12	25.3	10	783,051
MOORE	188,082	13	26.9	16	698,671
WHITE	175,099	14	27.4	20	639,515
LEWIS	172,509	15	33.8	26	509,930
WALKER	171,297	16	34.2	28	501,307
GREEN	149,803	17	36.2	37	413,477
WASHINGTON	146,520	18	89.9	138	163,036
THOMPSON	145,176	19	22.5	19	644,368
ANDERSON	137,688	20	18.1	12	762,394
SCOTT	135,521	21	32.3	36	420,091
CARTER	126,856	22	35.0	46	362,548
WRIGHT	120,484	23	27.4	34	440,367
MILLER	117,404	24	10.4	6	1,127,803
HILL	117,025	25	28.4	41	411,770
ALLEN	116,491	26	25.1	32	463,368
MITCHELL	115,815	27	31.5	44	367,433
YOUNG	110,849	28	23.8	31	465,948
LEE	105,480	29	17.4	22	605,860
MARTIN	102,925	30	15.3	17	672,711
CLARK	101,613	31	18.5	25	548,369
TURNER	98,383	32	29.3	49	335,663
HALL	98,265	33	20.7	30	473,568
KING	96,665	34	22.0	35	438,986
EDWARDS	95,787	35	30.2	53	317,070
COLEMAN	91,440	36	43.8	102	208,624
JAMES	88,835	37	38.1	80	233,224
EVANS	85,730	38	25.0	48	342,237
BELL	84,138	39	31.8	67	264,752
RICHARDSON	81,772	40	32.8	74	249,533
ADAMS	79,313	41	19.2	39	413,086
BROOKS	78,653	42	32.7	77	240,751
PARKER	78,111	43	24.1	51	324,246
JENKINS	76,881	44	36.0	95	213,737
STEWART	74,564	45	23.8	54	312,899
HOWARD	73,096	46	28.7	70	254,779
CAMPBELL	71,155	47	19.1	43	371,953
SIMMONS	71,102	48	35.3	103	201,650
SANDERS	70,468	49	31.9	88	220,902
HENDERSON	69,751	50	33.2	101	210,094
COLLINS	68,973	51	21.7	52	317,848
COOPER	68,227	52	25.3	64	270,097
WATSON	65,093	53	26.9	76	242,432
BUTLER	65,056	54	30.8	98	210,879
ALEXANDER	64,262	55	33.2	111	193,443
BRYANT	63,728	56	34.7	120	183,761
NELSON	61,547	57	14.9	40	412,236
MORRIS	60,137	58	19.3	56	311,754
BARNES	59,403	59	28.2	99	210,426
JORDAN	59,282	60	30.1	105	197,212
REED	58,757	61	22.0	65	267,443
WOODS	58,511	62	34.7	133	168,814
DIXON	58,085	63	38.2	156	152,015
ROBERTS	58,082	64	15.9	45	366,215
GRAY	57,663	65	24.4	79	236,713
PHILLIPS	57,562	66	16.4	47	351,848
GRIFFIN	56,752	67	29.8	114	190,636
BAKER	56,340	68	13.6	38	413,351
POWELL	56,239	69	26.0	91	216,553
BAILEY	56,215	70	21.1	66	265,916
FORD	56,017	71	31.4	124	178,397
HOLMES	54,841	72	36.5	161	150,166
BANKS	53,857	73	54.2	278	99,294
DANIELS	52,499	74	37.8	180	138,776
ROSS	52,065	75	23.7	89	219,961
ROGERS	51,992	76	17.7	61	294,403
PERRY	51,821	77	24.4	97	212,644
FOSTER	51,259	78	23.2	87	221,040
PATTERSON	50,950	79	25.7	104	198,557
HUNTER	49,874	80	32.3	153	154,410
OWENS	49,127	81	27.9	126	176,334
GRANT	49,030	82	36.6	192	134,034
MARSHALL	46,696	83	26.4	125	177,213
HENRY	46,416	84	28.8	142	161,392
MORGAN	45,523	85	16.5	62	276,400
PRICE	45,271	86	19.8	84	228,756
WALLACE	45,267	87	23.7	113	190,760
WARD	45,157	88	17.8	71	254,121
HAYES	45,087	89	24.0	117	187,473
BOYD	44,753	90	29.9	164	149,476
FREEMAN	44,690	91	27.5	140	162,686
GRAHAM	44,094	92	22.7	108	194,074
HAMILTON	44,016	93	22.7	107	194,331
FRANKLIN	43,394	94	37.8	236	114,859
