"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"1","garcia","779,412",1,90.8,8,"858,289"
"2","rodriguez","745,530",2,92.7,9,"804,240"
"3","martinez","710,896",3,91.7,11,"775,072"
"4","hernandez","662,648",4,93.8,15,"706,372"
"5","lopez","568,768",5,91.5,21,"621,536"
"6","gonzalez","561,795",6,94,23,"597,718"
"7","perez","447,729",7,91.6,29,"488,521"
"8","sanchez","404,972",8,91.8,33,"441,242"
"9","ramirez","364,364",9,93.7,42,"388,987"
"10","torres","296,424",10,91.2,50,"325,169"
"11","flores","283,979",11,90.8,55,"312,615"
"12","rivera","270,026",12,90.2,59,"299,463"
"13","gomez","240,289",13,91.2,68,"263,590"
"14","diaz","229,666",14,91.2,73,"251,772"
"15","reyes","202,052",15,86.9,81,"232,511"
"16","morales","199,969",16,91.9,90,"217,642"
"17","cruz","199,270",17,86.2,82,"231,065"
"18","ortiz","198,260",18,92.4,94,"214,683"
"19","gutierrez","196,703",19,92.4,96,"212,905"
"20","chavez","170,959",20,92,118,"185,865"
"21","ramos","164,943",21,85.4,112,"193,096"
"22","gonzales","163,758",22,84.4,110,"193,934"
"23","ruiz","160,868",23,91.7,129,"175,429"
"24","alvarez","153,049",24,90.7,132,"168,817"
"25","mendoza","149,300",25,88.6,134,"168,567"
"26","vasquez","147,926",26,92.5,143,"159,989"
"27","castillo","147,023",27,88.9,135,"165,473"
"28","jimenez","146,420",28,93,147,"157,475"
"29","moreno","132,896",29,91,170,"146,088"
"30","romero","132,444",30,86.1,154,"153,772"
"31","herrera","129,425",31,91.9,175,"140,786"
"32","medina","125,557",32,90.1,176,"139,353"
"33","aguilar","116,527",33,92.2,213,"126,399"
"34","garza","114,783",34,92.5,220,"124,130"
"35","castro","113,959",35,85.5,194,"133,254"
"36","vargas","113,763",36,91.8,221,"123,952"
"37","fernandez","112,417",37,80.7,178,"139,302"
"38","guzman","109,736",38,92.7,230,"118,390"
"39","munoz","109,071",39,92.6,232,"117,774"
"40","mendez","104,394",40,92.6,242,"112,736"
"41","salazar","103,131",41,90.9,240,"113,468"
"42","soto","98,388",42,92.3,257,"106,631"
"43","delgado","90,051",43,91.3,282,"98,675"
"44","pena","90,035",44,91.6,284,"98,345"
"45","rios","89,828",45,93,285,"96,569"
"46","alvarado","87,697",46,93.6,294,"93,723"
"47","sandoval","87,308",47,90.7,287,"96,303"
"48","contreras","86,869",48,93.8,299,"92,660"
"49","valdez","86,599",49,87.8,283,"98,610"
"50","guerrero","85,980",50,91.3,291,"94,152"
"51","ortega","85,522",51,91.8,296,"93,131"
"52","estrada","85,080",52,91.7,298,"92,831"
"53","nunez","82,279",53,91.2,306,"90,208"
"54","maldonado","81,811",54,93,316,"88,016"
"55","vega","80,306",55,91.5,318,"87,728"
"56","vazquez","80,272",56,94.5,328,"84,926"
"57","santiago","79,341",57,87.2,302,"90,967"
"58","dominguez","76,555",58,91.4,334,"83,731"
"59","espinoza","74,793",59,94.3,360,"79,322"
"60","silva","73,364",60,58.1,214,"126,164"
"61","padilla","72,798",61,89,345,"81,805"
"62","marquez","71,828",62,89.8,357,"79,951"
"63","cortez","68,611",63,88.5,367,"77,492"
"64","rojas","68,183",64,93.3,393,"73,071"
"65","acosta","67,292",65,88,377,"76,477"
"66","figueroa","66,629",66,91.9,398,"72,533"
"67","luna","65,911",67,86.6,378,"76,127"
"68","juarez","65,153",68,94.7,429,"68,785"
"69","navarro","64,036",69,86.6,388,"73,970"
"70","campos","62,640",70,89.5,420,"69,950"
"71","molina","62,579",71,89.1,417,"70,211"
"72","avila","62,461",72,89.4,421,"69,843"
"73","ayala","62,198",73,93.5,449,"66,515"
"74","mejia","62,043",74,93.3,448,"66,534"
"75","carrillo","61,757",75,92.1,443,"67,054"
"76","duran","57,955",76,85.2,434,"68,046"
"77","santos","57,733",77,58.3,279,"98,993"
"78","salinas","56,963",78,92.5,490,"61,582"
"79","robles","55,814",79,90.6,489,"61,619"
"80","solis","54,941",80,91.5,497,"60,045"
"81","lara","54,534",81,91.3,501,"59,731"
"82","cervantes","54,507",82,94.5,520,"57,685"
"83","aguirre","53,922",83,91.5,508,"58,918"
"84","deleon","53,751",84,81.9,460,"65,598"
"85","ochoa","53,303",85,93.2,523,"57,210"
"86","miranda","52,899",86,78.2,437,"67,646"
"87","cardenas","52,632",87,93,529,"56,618"
"88","trujillo","52,498",88,88.1,504,"59,609"
"89","velasquez","52,167",89,91.3,525,"57,163"
"90","fuentes","51,655",90,91.5,530,"56,441"
"91","cabrera","51,288",91,89.7,524,"57,171"
"92","leon","50,651",92,81.7,483,"62,034"
"93","rivas","50,456",93,92.4,553,"54,588"
"94","montoya","50,100",94,87.8,526,"57,075"
"95","calderon","49,824",95,91.1,550,"54,691"
"96","colon","49,422",96,89,539,"55,512"
"97","serrano","49,160",97,89.3,545,"55,057"
"98","gallegos","49,150",98,89.9,551,"54,672"
"99","rosales","47,347",99,92.2,595,"51,336"
"100","castaneda","47,314",100,92.6,600,"51,089"
"101","villarreal","46,590",101,92.5,613,"50,351"
"102","guerra","46,318",102,84.9,554,"54,575"
"103","trevino","46,080",103,91.3,612,"50,454"
"104","pacheco","45,487",104,77.7,512,"58,534"
"105","ibarra","44,395",105,94.7,662,"46,895"
"106","valencia","44,033",106,88,616,"50,026"
"107","macias","43,766",107,93.6,664,"46,739"
"108","camacho","43,331",108,88.4,630,"49,000"
"109","salas","43,294",109,89.7,643,"48,282"
"110","orozco","43,056",110,95.1,690,"45,289"
"111","roman","41,692",111,70.6,507,"59,020"
"112","zamora","41,464",112,90.5,684,"45,806"
"113","suarez","41,213",113,87.3,658,"47,235"
"114","franco","41,019",114,77.2,571,"53,161"
"115","barrera","40,236",115,92,713,"43,720"
"116","mercado","40,070",116,86.3,674,"46,437"
"117","santana","39,983",117,91.1,710,"43,875"
"118","valenzuela","39,034",118,89.2,711,"43,770"
"119","escobar","38,900",119,90.6,723,"42,955"
"120","rangel","38,841",120,92.8,750,"41,868"
"121","melendez","38,785",121,92,744,"42,139"
"122","velez","38,688",122,90.4,727,"42,820"
"123","lozano","38,642",123,90.8,734,"42,567"
"124","velazquez","37,984",124,94.9,789,"40,030"
"125","smith","37,069",125,1.6,1,"2,376,206"
"126","arias","36,963",126,92.2,787,"40,086"
"127","mora","36,849",127,89.1,759,"41,348"
"128","delacruz","36,795",128,74.9,629,"49,158"
"129","galvan","36,658",129,91.5,788,"40,046"
"130","zuniga","36,565",130,93.6,804,"39,057"
"131","cantu","36,021",131,91,793,"39,601"
"132","villanueva","35,990",132,80.7,703,"44,570"
"133","meza","35,677",133,94.7,835,"37,662"
"134","acevedo","35,414",134,92.6,824,"38,232"
"135","cisneros","34,846",135,94.1,850,"37,050"
"136","arroyo","34,845",136,92.5,833,"37,678"
"137","pineda","34,799",137,89.2,806,"38,999"
"138","andrade","34,751",138,74.4,666,"46,702"
"139","tapia","34,549",139,92.9,845,"37,201"
"140","sosa","34,034",140,92.5,859,"36,813"
"141","villa","33,984",141,86.2,797,"39,402"
"142","rocha","33,336",142,79.1,744,"42,139"
"143","rubio","33,028",143,90.4,866,"36,531"
"144","zavala","32,399",144,95.1,938,"34,068"
"145","montes","32,320",145,91.8,901,"35,196"
"146","ponce","32,094",146,90.7,895,"35,400"
"147","bonilla","31,972",147,91.8,908,"34,824"
"148","arellano","31,930",148,91.2,905,"34,999"
"149","rosario","31,712",149,86.8,865,"36,539"
"150","davila","31,640",150,91.6,924,"34,541"
"151","villegas","31,601",151,91.1,917,"34,684"
"152","huerta","31,547",152,94.6,959,"33,348"
"153","mata","31,417",153,90.1,907,"34,888"
"154","beltran","31,089",154,89.5,914,"34,736"
"155","barajas","30,851",155,96,989,"32,147"
"156","benitez","30,803",156,92.1,957,"33,441"
"157","esparza","30,714",157,93.7,971,"32,772"
"158","cordova","29,925",158,85.3,903,"35,074"
"159","murillo","29,768",159,93.1,995,"31,964"
"160","salgado","29,375",160,92.9,1012,"31,627"
"161","rosas","29,184",161,94,1030,"31,050"
"162","cuevas","28,189",162,88,993,"32,015"
"163","palacios","28,124",163,93,1057,"30,231"
"164","guevara","27,889",164,90.4,1039,"30,844"
"165","quintero","27,858",165,93,1070,"29,952"
"166","johnson","27,857",166,1.5,2,"1,857,160"
"167","lucero","27,643",167,81.5,945,"33,922"
"168","medrano","27,164",168,92.4,1091,"29,386"
"169","bautista","27,083",169,71.6,830,"37,847"
"170","martin","26,841",170,4,17,"672,711"
"171","lugo","26,489",171,90.3,1092,"29,328"
"172","dejesus","26,336",172,82.8,1002,"31,803"
"173","espinosa","26,272",173,86,1047,"30,538"
"174","marin","26,246",174,82.6,1003,"31,786"
"175","cortes","26,144",175,86.7,1061,"30,141"
"176","magana","26,132",176,94.8,1166,"27,571"
"177","quintana","25,964",177,87.3,1073,"29,755"
"178","corona","25,964",177,87.9,1081,"29,525"
"179","trejo","25,781",179,94.1,1172,"27,383"
"180","bernal","25,650",180,87.2,1089,"29,418"
"181","nieves","25,624",181,91.5,1146,"28,011"
"182","villalobos","25,489",182,94,1188,"27,107"
"183","enriquez","25,478",183,85.3,1072,"29,886"
"184","reyna","25,144",184,92.4,1181,"27,215"
"185","jaramillo","25,067",185,89.4,1144,"28,024"
"186","saenz","24,727",186,90.9,1182,"27,211"
"187","quinones","24,703",187,90.5,1177,"27,290"
"188","delarosa","24,693",188,87.8,1137,"28,134"
"189","avalos","24,672",189,95.4,1246,"25875"
"190","esquivel","24,594",190,93.5,1220,"26,301"
"191","williams","24,545",191,1.6,3,"1,534,042"
"192","nava","24,539",192,92.7,1212,"26,463"
"193","cano","24,502",193,90.2,1185,"27,179"
"194","bravo","24,446",194,88.6,1165,"27,576"
"195","duarte","24,420",195,76.6,997,"31,896"
"196","galindo","24,413",196,91.3,1199,"26,730"
"197","correa","24,299",197,84.1,1109,"28,910"
"198","parra","24,228",198,90.9,1203,"26,654"
"199","rodriquez","23,655",199,89.7,1217,"26,377"
"200","saldana","23,454",200,92.4,1273,"25,386"
"201","leal","23,451",201,83,1133,"28,248"
"202","sierra","23,304",202,89,1227,"26,181"
"203","blanco","22,991",203,79.7,1115,"28,843"
"204","becerra","22,968",204,93.9,1325,"24,468"
"205","brown","22,634",205,1.6,4,"1,380,145"
"206","carrasco","22,361",206,91.9,1331,"24,343"
"207","portillo","22,251",207,92.7,1353,"24,008"
"208","tovar","22,183",208,93.4,1370,"23,743"
"209","alfaro","22,131",209,91.8,1346,"24,108"
"210","vera","22,022",210,89.7,1319,"24,553"
"211","zapata","21,955",211,91.9,1361,"23,900"
"212","muniz","21,700",212,89.7,1340,"24,203"
"213","cardona","21,580",213,90.6,1365,"23,806"
"214","vigil","21,514",214,82,1224,"26,224"
"215","saucedo","21,273",215,95.2,1464,"22357"
"216","baez","21,019",216,93.4,1454,"22,512"
"217","hurtado","20,790",217,93.5,1468,"22,247"
"218","amaya","20,696",218,93.4,1473,"22,149"
"219","escobedo","20,622",219,94.6,1502,"21790"
"220","peralta","20,591",220,83.3,1305,"24,713"
"221","arredondo","20,443",221,93.8,1503,"21,785"
"222","aguilera","20,271",222,93.5,1519,"21,685"
"223","zepeda","20,018",223,94,1545,"21,305"
"224","rosado","19,928",224,90.3,1479,"22,066"
"225","hinojosa","19,912",225,93.8,1552,"21,228"
"226","renteria","19,896",226,94,1558,"21159"
"227","gallardo","19,895",227,88.7,1460,"22,435"
"228","barrios","19,800",228,86.3,1427,"22,941"
"229","felix","19,722",229,62.4,1011,"31,631"
"230","castellanos","19,711",230,93.9,1568,"20,985"
"231","baca","19,707",231,80.2,1316,"24,572"
"232","segura","19,690",232,86.8,1445,"22,689"
"233","jones","19,624",233,1.4,5,"1,362,755"
"234","guillen","19,531",234,91.9,1550,"21,257"
"235","cordero","19,341",235,83.6,1409,"23,127"
"236","chacon","19,281",236,91.2,1559,"21,153"
"237","valle","19,274",237,83.7,1415,"23,039"
"238","coronado","18,848",238,91.9,1608,"20,503"
"239","delatorre","18,831",239,91.4,1600,"20,614"
"240","vela","18,751",240,91.2,1603,"20,569"
"241","moran","18,623",241,23.7,362,"78,546"
"242","alonso","18,518",242,89,1581,"20,802"
"243","velasco","18,505",243,80.1,1411,"23,114"
"244","madrigal","18,209",244,92.8,1672,"19,632"
"245","carranza","18,172",245,93.8,1697,"19375"
"246","quiroz","18,167",246,93.1,1684,"19507"
"247","romo","17,877",247,89.1,1634,"20,066"
"248","madrid","17,853",248,85.7,1580,"20,834"
"249","montano","17,846",249,84.5,1562,"21,110"
"250","serna","17,811",250,90.2,1662,"19,751"
"251","ybarra","17,754",251,88.7,1639,"20,013"
"252","caballero","17,734",252,87.5,1620,"20,270"
"253","burgos","17,571",253,88.7,1658,"19,816"
"254","ventura","17,555",254,65.6,1196,"26,769"
"255","olvera","17,533",255,94.7,1778,"18512"
"256","rosa","17,405",256,61.3,1132,"28,375"
"257","varela","17,390",257,88.4,1664,"19,672"
"258","leyva","17,371",258,92.6,1749,"18,769"
