"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"1","smith","1,742,947",1,73.3,1,"2,376,206"
"2","johnson","1,143,082",2,61.6,2,"1,857,160"
"3","miller","967,768",3,85.8,6,"1,127,803"
"4","brown","837,886",4,60.7,4,"1,380,145"
"5","jones","786,173",5,57.7,5,"1,362,755"
"6","williams","744,317",6,48.5,3,"1,534,042"
"7","davis","694,122",7,64.7,7,"1,072,335"
"8","anderson","591,618",8,77.6,12,"762,394"
"9","wilson","545,943",9,69.7,10,"783,051"
"10","martin","521,149",10,77.5,17,"672,711"
"11","taylor","488,411",11,67.8,13,"720,370"
"12","moore","481,035",12,68.9,16,"698,671"
"13","thompson","467,038",13,72.5,19,"644,368"
"14","white","434,295",14,67.9,20,"639,515"
"15","clark","421,367",15,76.8,25,"548,369"
"16","thomas","394,649",16,55.5,14,"710,696"
"17","hall","355,697",17,75.1,30,"473,568"
"18","baker","339,279",18,82.1,38,"413,351"
"19","nelson","330,984",19,80.3,40,"412,236"
"20","allen","325,470",20,70.2,32,"463,368"
"21","young","321,085",21,68.9,31,"465,948"
"22","harris","319,800",22,53.9,24,"593,542"
"23","king","319,582",23,72.8,35,"438,986"
"24","adams","314,648",24,76.2,39,"413,086"
"25","lewis","310,904",25,61,26,"509,930"
"26","walker","307,051",26,61.3,28,"501,307"
"27","wright","300,771",27,68.3,34,"440,367"
"28","roberts","291,361",28,79.6,45,"366,215"
"29","campbell","284,432",29,76.5,43,"371,953"
"30","jackson","279,306",30,41.9,18,"666,125"
"31","phillips","277,784",31,79,47,"351,848"
"32","hill","275,186",32,66.8,41,"411,770"
"33","scott","262,977",33,62.6,36,"420,091"
"34","robinson","258,255",34,51.3,27,"503,028"
"35","murphy","255,576",35,85,58,"300,501"
"36","cook","246,213",36,83.5,60,"294,795"
"37","green","245,316",37,59.3,37,"413,477"
"38","lee","242,889",38,40.1,22,"605,860"
"39","evans","241,790",39,70.6,48,"342,237"
"40","peterson","237,333",40,86.3,63,"275,041"
"41","morris","236,684",41,75.9,56,"311,754"
"42","collins","234,953",42,73.9,52,"317,848"
"43","mitchell","233,504",43,63.6,44,"367,433"
"44","parker","231,803",44,71.5,51,"324,246"
"45","rogers","229,046",45,77.8,61,"294,403"
"46","stewart","224,599",46,71.8,54,"312,899"
"47","turner","223,787",47,66.7,49,"335,663"
"48","wood","222,717",48,90.1,75,"247,299"
"49","carter","219,378",49,60.5,46,"362,548"
"50","morgan","216,891",50,78.5,62,"276,400"
"51","cox","214,386",51,84.5,72,"253,771"
"52","kelly","209,324",52,80.4,69,"260,385"
"53","edwards","206,603",53,65.2,53,"317,070"
"54","bailey","198,825",54,74.8,66,"265,916"
"55","ward","197,681",55,77.8,71,"254,121"
"56","reed","196,597",56,73.5,65,"267,443"
"57","myers","194,675",57,86.6,85,"224,824"
"58","sullivan","192,890",58,89.5,92,"215,640"
"59","cooper","190,040",59,70.4,64,"270,097"
"60","bennett","188,853",60,79,78,"239,055"
"61","hughes","184,888",61,80.6,83,"229,390"
"62","long","184,047",62,82.3,86,"223,494"
"63","fisher","177,875",63,84.6,100,"210,279"
"64","price","174,106",64,76.1,84,"228,756"
"65","russell","171,161",65,79.5,93,"215,432"
"66","howard","170,269",66,66.8,70,"254,779"
"67","gray","168,374",67,71.1,79,"236,713"
"68","bell","168,303",68,63.6,67,"264,752"
"69","watson","166,260",69,68.6,76,"242,432"
"70","reynolds","162,894",70,83.3,106,"195,598"
"71","foster","159,149",71,72,87,"221,040"
"72","ross","157,184",72,71.5,89,"219,961"
"73","olson","157,011",73,96,136,"163,502"
"74","richardson","155,334",74,62.2,74,"249,533"
"75","snyder","151,984",75,95.4,144,"159,363"
"76","powell","151,500",76,70,91,"216,553"
"77","stevens","151,302",77,83.4,122,"181,417"
"78","brooks","150,999",78,62.7,77,"240,751"
"79","perry","150,361",79,70.7,97,"212,644"
"80","west","146,418",80,77.7,115,"188,464"
"81","cole","145,709",81,77.6,116,"187,793"
"82","wagner","145,199",82,94,152,"154,516"
"83","meyer","143,782",83,96.1,163,"149,664"
"84","kennedy","142,406",84,83,130,"171,636"
"85","barnes","141,932",85,67.4,99,"210,426"
"86","hamilton","141,454",86,72.8,107,"194,331"
"87","graham","141,364",87,72.8,108,"194,074"
"88","schmidt","140,441",88,96.5,171,"145,565"
"89","sanders","140,140",89,63.4,88,"220,902"
"90","mcdonald","139,449",90,79.2,127,"176,094"
"91","patterson","139,169",91,70.1,104,"198,557"
"92","murray","138,431",92,77.6,123,"178,414"
"93","gibson","137,522",93,74.6,119,"184,420"
"94","wallace","136,889",94,71.8,113,"190,760"
"95","butler","136,544",95,64.7,98,"210,879"
"96","hayes","134,306",96,71.6,117,"187,473"
"97","burns","133,257",97,82.2,141,"162,153"
"98","ellis","132,484",98,72.8,121,"181,934"
"99","fox","132,356",99,89.8,167,"147,357"
"100","stone","130,927",100,87.4,162,"149,802"
"101","henderson","130,636",101,62.2,101,"210,094"
"102","wells","130,212",102,76.3,131,"170,635"
"103","ryan","130,041",103,93.3,177,"139,335"
"104","jenkins","128,499",104,60.1,95,"213,737"
"105","hansen","127,655",105,95.6,193,"133,474"
"106","webb","127,090",106,77.7,137,"163,481"
"107","james","126,990",107,54.4,80,"233,224"
"108","jordan","126,807",108,64.3,105,"197,212"
"109","griffin","126,697",109,66.5,114,"190,636"
"110","hoffman","126,610",110,95.5,195,"132,645"
"111","harrison","124,660",111,71,128,"175,577"
"112","rose","123,754",112,84.2,168,"146,924"
"113","simmons","122,099",113,60.5,103,"201,650"
"114","marshall","122,082",114,68.9,125,"177,213"
"115","johnston","120,077",115,93.1,207,"128,935"
"116","owens","120,066",116,68.1,126,"176,334"
"117","nichols","119,638",117,84.3,174,"141,936"
"118","weaver","118,975",118,85.7,179,"138,811"
"119","kelley","118,036",119,85.8,184,"137,555"
"120","mills","117,883",120,79.7,165,"147,909"
"121","alexander","117,826",121,60.9,111,"193,443"
"122","tucker","117,410",122,72.1,139,"162,933"
"123","palmer","117,122",123,77.9,158,"150,407"
"124","rice","116,639",124,79.6,169,"146,440"
"125","larson","116,379",125,96.1,224,"121,064"
"126","simpson","115,975",126,73.3,145,"158,241"
"127","shaw","115,867",127,74.7,150,"155,172"
"128","carlson","115,583",128,96.2,225,"120,124"
"129","hunt","115,555",129,76,157,"151,986"
"130","black","115,118",130,76.7,160,"150,186"
"131","ford","114,674",131,64.3,124,"178,397"
"132","peters","114,311",132,85.2,190,"134,231"
"133","arnold","113,619",133,83.4,187,"136,315"
"134","robertson","113,250",134,75.3,159,"150,299"
"135","pierce","112,927",135,82.7,186,"136,517"
"136","dunn","112,782",136,82.3,185,"136,955"
"137","crawford","112,756",137,71.3,146,"158,121"
"138","bryant","112,039",138,61,120,"183,761"
"139","carpenter","111,913",139,88.1,211,"127,073"
"140","porter","111,660",140,71.2,148,"156,848"
"141","carroll","111,433",141,85.1,201,"131,020"
"142","elliott","111,092",142,83.9,197,"132,457"
"143","freeman","110,561",143,68,140,"162,686"
"144","mason","110,378",144,71,149,"155,484"
"145","ferguson","110,305",145,77.5,173,"142,256"
